Project,TotalPackages,TotalTransitiveDependencies,TotalCyclicDependencies,TotalOptionalDependencies,TotalPeerDependencies,GraphDensity,AveragePathLength,UnusedDependencies,MostDependedOnPackage,VersionMismatch
angular-patternfly_parsed,2832,135,0,0,0,2323,1.2511917858452473,555,18,115
app-layout_parsed,615,15,0,0,0,505,1.028846153846153,128,31,14
atom-keymap_parsed,1451,24,0,0,0,1123,1.0217770034843199,295,40,48
bootlint_parsed,1063,10,0,0,0,776,1.0127226463104324,231,15,9
bootstrap-sass_parsed,187,162,0,0,0,256,3.2181340341655718,1,6,0
govuk_elements_parsed,1894,78,0,0,0,1507,1.1177536231884049,355,30,60
knockout_parsed,79,0,0,0,0,55,1.0,26,3,2
maki_parsed,459,9,0,0,0,282,1.0309278350515458,117,3,5
mattermost-redux_parsed,1697,29,0,0,0,1538,1.0615288999378507,308,43,50
node-sass-magic-importer_parsed,2354,138,0,0,0,2344,2.382441798471657,416,37,104
nodent_parsed,13,0,0,0,0,5,1.0,6,1,0
n_parsed,3,0,0,0,0,0,,3,0,0
react-json-view_parsed,3692,477,33,0,0,3656,3.6094197241738004,578,56,181
react-responsive-ui_parsed,1513,54,0,0,0,1259,1.2470910335386727,266,59,60
sdm-pack-aspect_parsed,3242,323,33,0,0,2922,3.1272413793103464,564,27,69
TableFilter_parsed,1112,895,37,0,0,2130,5.729093537063851,3,54,38
tslint-microsoft-contrib_parsed,860,18,0,0,0,624,1.0280373831775704,182,8,28
ui-grid_parsed,2602,311,8,0,0,2389,2.6513065467828034,499,35,101
