Project,TotalPackages,TotalTransitiveDependencies,TotalCyclicDependencies,TotalOptionalDependencies,TotalPeerDependencies,GraphDensity,AveragePathLength,UnusedDependencies,MostDependedOnPackage,VersionMismatch
accessible-autocomplete,2750,149,0,17,188,2571,1.1982928430728803,546,67,3
agenda,1303,87,0,4,36,1018,1.0803974706413726,295,18,2
angularfire,3228,321,0,155,266,2971,1.1748431260695953,889,59,3
artillery,3367,126,0,18,114,3667,1.092934920232971,631,108,7
asciidoctor-web-pdf,1279,80,0,5,20,1096,1.092577147623019,251,25,1
ast-types,279,34,0,1,6,184,1.1559633027522944,74,4,0
astring,1796,35,0,5,80,1523,1.0237179487179513,359,65,0
atomizer,3169,86,0,49,201,2989,1.0317666126418186,681,78,4
auth0.js,2365,91,0,6,108,1970,1.0455426356589137,479,65,4
basic-ftp,349,34,0,1,8,248,1.1205673758865247,83,5,0
bulma,378,0,0,17,37,285,1.0,113,30,0
bundle-stats,4027,329,0,72,308,4035,1.3787820015515886,892,71,5
compodoc,2530,138,0,59,119,2188,1.1415433826469423,612,58,0
contentful-management.js,2757,106,0,55,160,2504,1.1250903832248764,656,65,0
contentful.js,2369,60,0,50,139,2074,1.0281162136832223,580,59,0
dagre,1175,55,0,2,9,914,1.078252032520325,249,14,1
design-system,1516,138,0,5,8,1167,1.1071155317521026,322,19,1
devicon,888,2,0,2,0,673,1.0029629629629628,168,7,0
dom-serializer,968,3,0,2,40,921,1.0032467532467533,213,29,0
domhandler,872,4,0,1,44,832,1.0047846889952157,193,24,0
draftjs-filters,1817,28,0,58,55,1437,1.0284938941655355,517,12,0
echarts,1610,19,0,10,39,1410,1.0132960111966414,343,29,0
egjs-flicking,2547,16,0,6,120,2217,1.0089405453732703,500,65,0
engine,1644,60,0,21,118,1438,1.0650032829940923,362,64,0
etcher-sdk,1418,35,0,3,21,1341,1.025436046511629,289,58,2
ganache,1628,41,0,4,10,1473,1.0290046143704679,319,36,0
graphlib,1123,55,0,2,11,855,1.0832432432432442,243,16,2
htmlparser2,767,28,0,46,32,524,1.0732142857142866,262,5,0
i18next,1857,37,0,45,135,1575,1.030864197530863,447,73,0
imgix.js,2365,45,0,10,17,1872,1.0244919228764995,499,16,0
instagram-private-api,517,5,0,1,9,303,1.0162337662337657,150,5,0
jquery,1695,124,0,35,23,1298,1.0884831460674165,423,18,0
js-client,1333,5,0,2,37,996,1.0049950049950038,310,15,1
js,684,5,0,61,24,456,1.0108459869848148,270,6,0
json-server,603,8,0,26,18,371,1.0211081794195251,218,5,0
jsoneditor,1603,14,0,17,96,1423,1.0097425191370915,344,58,0
jsPsych,2838,132,0,49,210,2600,1.0532846715328474,689,77,0
ketting,1018,8,0,1,26,743,1.0106524633821563,245,12,0
mapshaper,791,35,0,9,7,599,1.055205047318612,186,15,0
milsymbol,592,8,0,18,10,380,1.0206185567010315,179,4,0
mnemonist,325,35,0,1,2,207,1.1446280991735533,82,4,0
model-viewer,2854,29,0,29,72,2414,1.0167278661770682,617,34,0
moment,1194,39,0,6,16,824,1.0694760820045575,280,5,0
ngx-ui-scroll,102,19,0,0,1,60,1.2405063291139238,27,3,0
node-pty-prebuilt-multiarch,950,36,0,6,8,699,1.0489795918367328,203,6,0
node-red-contrib-opcua,598,130,0,2,5,978,9.958822708426554,114,47,0
openapi-validator,2317,56,0,12,57,2191,1.0266548200799646,476,29,0
opening_hours.js,1138,5,0,18,13,805,1.0061728395061733,267,8,0
phaser-ce,921,49,0,1,12,658,1.1048275862068968,200,6,0
plotly.js,1906,33,0,37,39,1380,1.0405310971348725,515,11,0
plugin-rest-endpoint-methods.js,548,27,0,67,19,350,1.1062176165803101,247,6,0
power-assert,0,0,0,0,0,0,,0,0,0
prerender,270,65,0,1,2,217,1.515580736543912,56,5,0
redocly-cli,2280,33,0,7,159,2275,1.0142980935875212,473,78,0
sapper,1357,71,0,5,0,1075,1.0652173913043463,272,14,1
schematics,1965,101,0,7,57,1783,1.0551139374668805,417,24,1
semantic-release,2062,32,0,10,17,1869,1.0168332456601792,418,26,0
sigma.js,4449,250,0,59,389,4526,1.1187686196623576,994,86,0
sizzle,1368,69,0,3,10,973,1.4035656401944883,290,6,2
skia,257,18,0,2,3,166,1.2010050251256281,65,3,0
strophejs,1073,27,0,5,107,909,1.0515247108307062,225,66,0
swagger-ui,4030,150,0,55,324,4053,1.081910475311492,855,87,2
taiko,1560,25,0,14,44,1269,1.0193199381761966,358,30,1
testdouble.js,1382,10,0,5,27,1182,1.0083892617449663,288,39,0
three-mesh-bvh,1345,2,0,54,104,1312,1.0015220700152199,341,67,0
tslint-to-eslint-config,1097,3,0,13,42,992,1.003015075376886,272,30,0
ua-parser-js,761,46,0,3,3,497,1.084714548802947,178,4,0
ui5-builder,1513,1,0,5,17,1144,1.0008733624454151,345,10,0
vanilla-lazyload,1063,7,0,20,107,1122,1.0062001771479188,226,67,0
vscode-generator-code,1056,4,0,3,20,772,1.0051546391752604,240,7,0
WebCola,2317,170,0,6,103,2162,1.0896842105263145,445,52,1
whistle,1715,42,0,4,8,1452,1.1440993788819858,335,41,0
wikibase-sdk,654,0,0,36,19,499,1.0,203,21,0
commanderjs,1027,8,0,1,52,1035,1.0086206896551733,225,24,0
